7, 42, 5, 20230415
3, 128, 9, 20230721
10, 15, 2, 20231103
1, 89, 7, 20230529
6, 203, 4, 20230908
2, 57, 8, 20231217
9, 31, 1, 20230303
5, 176, 6, 20230610
8, 94, 3, 20231025
4, 62, 10, 20230812
2, 145, 5, 20231130
7, 83, 9, 20230227
10, 19, 1, 20230704
3, 211, 8, 20231009
6, 37, 2, 20230518
1, 152, 7, 20230825
9, 68, 4, 20231201
5, 123, 10, 20230406
8, 46, 3, 20230713
4, 179, 6, 20231028
7, -42, 115, 20230415
3, -128, 109, 20230721
10, -15, 102, 20231103
1, -89, 117, 20230529
6, -203, 104, 20230908
2, -57, 118, 20231217
9, -31, 101, 20230303
5, -176, 106, 20230610
8, -94, 113, 20231025
4, -62, 120, 20230812
2, -145, 105, 20231130
7, -83, 119, 20230227
10, -19, 111, 20230704
3, -211, 108, 20231009
6, -37, 112, 20230518
1, -152, 107, 20230825
9, -68, 114, 20231201
5, -123, 110, 20230406
8, -46, 103, 20230713
4, -179, 116, 20231028
